,author_name,published_date,updated_date,like_count,text
23,Kaspul Hadi,2022-09-27T08:02:29Z,2022-09-27T08:02:29Z,0,mantp mahasiswa maju truuus jangan kasi ampun bapak2 itu
24,Muhammad Qadri,2022-09-26T13:48:31Z,2022-09-26T13:48:31Z,0,Itu gara&quot; bbm naik
25,Kampung AURi TanjakaN DKI,2022-09-26T06:52:46Z,2022-09-26T06:52:46Z,0,Gimna ni Y Allah Harga BBm perliter jdi12 ribu..Rakyak pada kelaparan..cari buat makan aja udah susah..Gimna ni Y Allah
26,A W,2022-09-24T18:49:36Z,2022-09-24T18:49:36Z,0,"Kasihan anak2 mahasiswa dan anak2 yg masih sekolah... Menambah lagi beban penderitaan yg di tanggung dari orng tua mereka.. dan untuk makan sehari - hari saja sdh sangat susah ,, tolong lah pak Jokowi kebijaksanaan bapak bagaimana selaku kepercayaan dari rakyat yg sdh memilih bapak sebagai presiden Indonesia 🙏 ."
27,Elangputih Elangputih,2022-09-24T16:27:42Z,2022-09-24T16:27:42Z,0,"kalau diem aje sambil jalan kaki itu bukan demo namanya,, tu gerak jalan acara 17 an.. demo ya mesti koar&quot; ade keributanya itu dh lumrah org ramai looo..namanya tuntutan rakyat"
28,kai,2022-09-24T07:11:57Z,2022-09-24T07:11:57Z,1,"Jangan beri ijin berdiri jika perusahaan tidak sanggup gaji sesuai umk, jika bbm naik gaji karyawan umk tak masalah, ini<br>bbm naik tapi gaji karyawan masih banyak dibawah umk,<br>Klo begini terus buruh/rakyat kecil yg tertekan.Merekalah yg menjerit.<br>Mungkin banyak perusahaan yg akan tutup dengan kebijakan itu, tapi tak masalah nanti perusahaan yg tutup bisa dikelola negara yg bisa menggaji sesuai umk."
29,siti aisah,2022-09-23T20:33:22Z,2022-09-23T20:33:22Z,0,"Tolong pemerintah jangan pura2 tuli dengarkanlah keinginan &amp; permintan rakyat, skrg Rakyat sedang menjerit &amp; tercekik, beban ekonomi semakin berat di era jokowi."
30,Rudi Gunawan,2022-09-23T15:29:28Z,2022-09-23T15:29:28Z,0,Hidup mahasiswa ✊ hidup buruh ✊.... lanjutkan perjuanganmu 💪
31,Abas Sujana,2022-09-22T12:48:47Z,2022-09-22T12:48:47Z,0,8io9IJ
32,Hadi Purnomo,2022-09-22T08:03:37Z,2022-09-22T08:03:37Z,0,Wkwkkwkkwkkkkwkkkk
33,Supri Fadri,2022-09-21T19:16:04Z,2022-09-21T19:16:04Z,0,Request cara membuat bbm dari sampah daun atau plastik dong min 🙏.
