,author_name,published_date,updated_date,like_count,text
951,Anton Seilala,2022-04-12T02:39:30Z,2022-04-12T02:39:30Z,0,Kami krnah cinta negri saja...klu suda liat kegini muak....aturan gk di ikut....membuat terobosan terobosan entahh😂
952,War Doyo,2022-04-12T02:39:22Z,2022-04-12T02:39:22Z,0,Arogan
953,Dos Santos,2022-04-12T02:39:11Z,2022-04-12T02:39:11Z,1,"Mudah mudahan terjadi seperti peristiwa Mei 1998, biar seru wkwkwk 🤣😂🤣"
954,Masboy,2022-04-12T02:38:19Z,2022-04-12T02:38:19Z,5,Mahasiswa yg bertindak anarkis harus ditangkap dan diberi timah panas pada kakinya..malu maluin sebagai mahasiswa ahlaknya gk punya sama sekali
955,Lidah Kampoeng channel,2022-04-12T02:38:10Z,2022-04-12T02:38:10Z,0,Tidak demo tidak seruuu ......
956,Wahyu kopyor 🇮🇩,2022-04-12T02:37:20Z,2022-04-12T02:37:20Z,0,Kalo ganti persiden bisa janin  apa2 murah  dengan mahasiswa  masa bisa menjamin   ibu bpkmu jadi kaya  mahasiswa itu harus punya sopan santun orang tua banyak berjuang mati-matian bukan untuk demo untuk gimana anak jadi yang terbaik
957,ahmad mukhtar,2022-04-12T02:36:08Z,2022-04-12T02:36:08Z,13,"Yang kasihan aparat ke amanan dan pendemo, seharusnya bertanggung jawab para pemimpin indonesia, jangan hanya mengorbankan aparat dan mahasiswa."
958,Iwan Iwan,2022-04-12T02:35:25Z,2022-04-12T02:35:25Z,0,"Setiap demo,itu orang nomer satu selalu tak nampak batang hidungnya,mungkin lagi meninjau proyek atau lagi ritual?😅😅😅"
959,Heroe Priono,2022-04-12T02:35:23Z,2022-04-12T02:35:23Z,0,"Dah tahu mo memancing kerusuhan , ko Bru bertindak mestinya alias pencegahan , ga sakit minum obat namanya p pol"
960,JAWANESIA,2022-04-12T02:35:18Z,2022-04-12T02:35:18Z,0,Terus demo sampai permintaan rakyat di kabulkan.. Indonesia ✊😠
961,boy meki,2022-04-12T02:31:56Z,2022-04-12T02:31:56Z,0,Mau seumur hidup juga gak app Koh ngapain di demo kan kalian yang menikmati banso juga
962,Maenyon Sangalaz,2022-04-12T02:31:41Z,2022-04-12T02:31:41Z,0,"Jokowi cumaa bisa tertawa melihat ini🖕🖕, turun kmu jok udh ga pantas mimpin negara"
963,Ustadin,2022-04-12T02:31:20Z,2022-04-12T02:31:20Z,0,Pemimpin revolusi di tentang<br>Pemimpin keras di gulingkan<br>Pemimpin kiai di turunkan<br>Pemimpin militer di turunkan<br>Saiki pemimpin santun dalam memerintah juga di turunkan....<br><br>Benang kusutnya sebenarnya keliatan banget....para kadrun kadrun itu <br><br>Heran kaya ga mau mati saja...
964,Fatih Ale,2022-04-12T02:31:10Z,2022-04-12T02:31:10Z,0,Suharto berapa periode....
965,Endry Danki,2022-04-12T02:30:56Z,2022-04-12T02:30:56Z,1,Cepat segerah ditangkap dalang kerusuhan demo kemarin pk polisi.. Hukum seberat2nya
966,Aqi Jr,2022-04-12T02:30:08Z,2022-04-12T02:30:08Z,0,Giliran udah gini diliput media...<br>Kemaren kemana aja???<br><br>Selamat berbuka puasa dengan bakwan rebus!
