,author_name,published_date,updated_date,like_count,text
38,MADRI DAUD,2020-10-31T16:00:26Z,2020-10-31T16:00:26Z,0,TERIMAKASIH SAYA HATURKAN KEPADA MBAH KLOWOR BERKAT NOMOR YANG TEMBUS 4 ANGKA HARI INI DAN KEMARIN EKOR 4 KECIL. AKHIRNYA TURUN GUNUNG...
39,Didik Hariono,2020-10-31T11:50:36Z,2020-10-31T11:50:36Z,0,Masarakat kita kurang punya kesadaran besar. Sebetul nya apa isi uud. Ini. Tanpa baca yg jelas .uda demo anarkis. Perusahaan harus sedikit banyak mengikuti pemerinta. Dan setiap pabrik.harus punya ssksi berat pada buru. Dgn ada nya demo uda pasti pabrik rugi basar.2 ran. PHK meraka yg demo.2. Itu hak pabrik.  Di belang masi banysk yg butuh kerja.
40,rendi prendi,2020-10-31T07:00:38Z,2020-10-31T07:00:38Z,0,"ada loker gamau nyari kerja demo katanya gak disediain lawangan pekerjaan, giliran sekarang dikasih enak gamau dikasih kerjaan juga gamau maunya demo terus"
41,Eksa Dofa,2020-10-29T17:12:28Z,2020-10-29T17:12:28Z,0,Bagaimana ini yang katanya merdeka yang merdeka adalah orang orang atas rakyat kecil hanya di pandang sebagai sampah
42,TIPS MOBILE LEGEND,2020-10-28T10:27:06Z,2020-10-28T10:28:29Z,0,"Awowkwowko malu gw sumpah jadi mahasiswa. <br>Padhaal saya tidak menginginkan demo tolak Omnibus law. Cara nya saja sudah bisa ditebak kalo itu antara terlalu besar ego atau memang di bayar atau ditunggangi. <br>Terlihat bagaimana mahasiswa sekarang lebih mengedepankan ego dan berfikir pendek drpd intelektual.😑 <br>Seharusnya jika punya gagasan yg lebih memberi solusi, kan bisa ke MK, Mengirim beberapa delegasi begitu. Dan sebelumnya mempunyai atau melakukan briefing antar kampus masalah dalam  poin poin omnibuslaw tsb. Dan dikemukakan di depan MK. Bener gak??<br><br>Baru dengan cara spt ini NAMA BESAR MAHASISWA AKAN KOKOH BERDIRI SENDIRI TANPA TENDENSI DARI MANAPUN DENGAN SEGALA KEINTELEKTUAL AN NYA.<br><br>Apa saya salah?? <br>Kalo sudah begini?? Fasilitas yang dibangun oleh uang rakyat saja sudah hancur. Investor luar pada kabur 😆😑, pengangguran banyak. Yassalam...<br><br>SEBENARNYA, mereka itu mau membela rakyat atau apa si??<br>Sumpah gw gak ngerti lagi sampe sini...<br>Atau jangan2 memang ada suatu univ. Yg membangun mahasiswa dalam merebut misi yang lain?? <br>Wallahu a&#39;lam bissowab...<br><br>dan Saya salah satu Mahasiswa yg tidak mendukung demo itu 😑😁 maaf ya kawan. <br>Berbeda pemikiran bukan berarti kita tak bersaudara.<br>SALAM MAHASISWA✊<br><br>Yassaalamm<br>Saya siap dibully... Gak cuil saya dibully."
43,Alvaro Roem,2020-10-28T04:20:26Z,2020-10-28T04:20:26Z,0,"Kesalahan mahasiswa, melawan aparat, membakar dan merusak fasilitas negara, sedangkan DPR enak-enak saja berbicara. Coba terbalik DPR di culik pasti UU batal dalam 5 hari."
44,Diyan Kurniawan,2020-10-27T23:17:45Z,2020-10-27T23:17:45Z,0,Demo itu pantang pulang sblm ada kepastian...
45,sony andara,2020-10-27T07:53:18Z,2020-10-27T07:53:18Z,0,yang bikin rusuh itu sebenarnya oknum gak bertanggung jawab. sukannya mengadu domba pemerinthan dan rakyat
46,Soni fadira,2020-10-27T00:44:33Z,2020-10-27T00:44:33Z,0,Daripada buat uu cipta kerja mending buat uu hukuman mati para koruptor
47,Faizal R.,2020-10-26T08:28:10Z,2020-10-26T08:28:10Z,0,What happened my neighbor indonesia?
